country,crimeIndex,CrimeRate_OverallCriminalityScoreGOCI,CrimeRate_CriminalMarketsScore,CrimeRate_CriminalActorsScore,CrimeRate_ResilienceScore,CrimeRateSafetyIndex
Afghanistan,78.4,7.1,7,7.2,1.5,21.6
Albania,45.4,5.17,4.83,5.5,5.13,54.6
Algeria,51.4,4.88,5.17,4.6,4.38,48.6
Andorra,34.0,3.22,2.73,3.7,7.96,66.0
Angola,65.8,5.58,5.17,6,4.5,34.2
Antigua and Barbuda,39.6,2.98,2.67,3.3,4.58,60.4
Argentina,64.0,5,4.5,5.5,5.96,36.0
Armenia,21.6,2.82,2.93,2.7,5.71,78.4
Australia,46.7,4,4.3,3.7,7.38,53.3
Austria,27.6,4.13,4.17,4.1,7.5,72.4
Azerbaijan,31.7,4.8,4.1,5.5,3.96,68.3
The Bahamas,60.3,3.75,3.6,3.9,5.5,39.7
Bahrain,24.2,4.95,5.4,4.5,5.42,75.8
Bangladesh,62.5,5.12,5.03,5.2,4.42,37.5
Barbados,46.6,3.07,2.43,3.7,6.13,53.4
Belarus,51.4,5.87,5.33,6.4,3.25,48.6
Belgium,48.9,4.43,5.17,3.7,7.04,51.1
Belize,52.3,4.87,4.43,5.3,3.29,47.7
Benin,49.8,5.32,5.43,5.2,3.5,50.2
Bhutan,41.4,3.9,3.9,3.9,4.71,58.6
Bolivia,62.0,4.95,5,4.9,4.83,38.0
Bosnia and Herzegovina,42.5,5.85,5.3,6.4,3.88,57.5
Botswana,52.6,4.35,4.4,4.3,5.46,47.4
Brazil,66.1,6.77,6.93,6.6,4.92,33.9
Brunei,29.2,2.85,3.3,2.4,4.58,70.8
Bulgaria,37.5,5.65,5.4,5.9,5.33,62.5
Burkina Faso,53.0,5.92,5.83,6,3.46,47.0
Burundi,64.2,4.87,4.63,5.1,2.17,35.8
Cambodia,44.8,6.85,6.7,7,3.63,55.2
Cameroon,54.6,6.27,6.23,6.3,3.17,45.4
Canada,33.3,3.88,3.87,3.9,7.21,66.7
Cape Verde,38.0,4.28,3.97,4.6,6.58,62.0
Central African Republic,65.2,6.75,5.6,7.9,1.79,34.8
Chad,58.7,5.5,5.1,5.9,2.42,41.3
Chile,25.8,5.18,5.07,5.3,6.17,74.2
China,60.8,6.37,6.53,6.2,5.67,39.2
Colombia,53.5,7.75,7.3,8.2,5.63,46.5
Comoros,50.3,3.92,3.73,4.1,2.38,49.7
Costa Rica,53.7,5.53,5.37,5.7,5.63,46.3
Croatia,26.1,5.15,4.9,5.4,5.92,73.9
Cuba,32.2,3.37,3.63,3.1,5.38,67.8
Cyprus,32.6,4.43,3.97,4.9,4.46,67.4
Czech Republic,26.8,4.68,4.87,4.5,6.42,73.2
Denmark,26.6,4.02,4.33,3.7,8.13,73.4
Djibouti,61.1,4.65,4.3,5,4.38,38.9
Dominica,34.8,2.63,2.67,2.6,5.17,65.2
Dominican Republic,45.2,5.02,5.13,4.9,4.79,54.8
Democratic Republic of Congo,65.4,7.35,6.2,8.5,2.38,34.6
Ecuador,60.7,7.07,6.73,7.4,4.88,39.3
Egypt,47.0,5.05,5.1,5,3.83,53.0
El Salvador,62.1,5.92,5.43,6.4,3.21,37.9
Equatorial Guinea,53.5,4.38,3.57,5.2,2.21,46.5
Eritrea,49.7,3.97,3.93,4,2.33,50.3
Estonia,24.5,4.25,4.2,4.3,7.88,75.5
Eswatini,48.8,4.38,3.87,4.9,3.29,51.2
Ethiopia,51.4,5.68,6.07,5.3,4.75,48.6
Fiji,56.7,4.15,4.3,4,5.42,43.3
Finland,26.5,2.98,3.27,2.7,8.63,73.5
France,54.6,5.82,5.93,5.7,6.96,45.4
Gabon,50.0,4.85,4.6,5.1,3.25,50.0
Georgia,39.0,3.6,3.6,3.6,5.25,61.0
Germany,38.0,5.33,5.47,5.2,7.5,62.0
Ghana,44.1,5.8,6,5.6,5.46,55.9
Greece,46.5,5.35,4.7,6,5.17,53.5
Grenada,37.6,2.93,2.67,3.2,5.13,62.4
Guatemala,60.1,6.6,6.1,7.1,4.08,39.9
Guinea,45.9,4.58,4.77,4.4,3.13,54.1
Guyana,68.8,5.97,5.13,6.8,4.04,31.2
Haiti,78.3,5.93,5.77,6.1,2.46,21.7
Honduras,74.3,7.05,6,8.1,4.08,25.7
Hong Kong,21.7,,,,,78.3
Hungary,33.8,4.62,4.73,4.5,4.88,66.2
Iceland,25.0,3.37,2.93,3.8,8.21,75.0
India,44.4,5.75,6.7,4.8,5.42,55.6
Indonesia,45.9,6.85,6.6,7.1,4.25,54.1
Iran,49.8,7.03,7.37,6.7,3.13,50.2
Iraq,46.0,7.13,6.27,8,3.21,54.0
Ireland,46.1,5.08,5.17,5,7.33,53.9
Israel,32.2,4.85,5,4.7,6.08,67.8
Italy,47.3,6.22,5.73,6.7,6.46,52.7
Ivory Coast,57.5,6.02,5.93,6.1,5.13,42.5
Jamaica,67.5,5.8,4.9,6.7,5.42,32.5
Japan,22.9,4.28,3.87,4.7,7.38,77.1
Jordan,40.7,4.93,4.87,5,5.58,59.3
Kazakhstan,46.4,4.47,4.33,4.6,4.54,53.6
Kenya,56.8,7.02,6.93,7.1,5.33,43.2
Kiribati,37.1,2.45,2.6,2.3,4.33,62.9
Kuwait,32.6,5.2,5.7,4.7,5.54,67.4
Kyrgyzstan,53.9,5.32,4.63,6,3.83,46.1
Laos,51.9,6.12,6.33,5.9,3.46,48.1
Latvia,37.3,3.9,4.5,3.3,7.58,62.7
Lebanon,46.5,7.1,6.3,7.9,3.46,53.5
Lesotho,47.6,3.92,3.43,4.4,3.92,52.4
Liberia,51.2,5.5,5.4,5.6,3.25,48.8
Libya,60.4,6.93,6.57,7.3,1.54,39.6
Liechtenstein,26.5,2.27,2.33,2.2,8.46,73.5
Lithuania,33.2,3.9,3.8,4,7.29,66.8
Luxembourg,34.0,2.85,2.9,2.8,7.5,66.0
Madagascar,51.3,5.58,5.27,5.9,3.33,48.7
Malawi,40.9,4.48,4.77,4.2,4.58,59.1
Malaysia,51.6,6.23,6.67,5.8,5.92,48.4
Maldives,55.2,4.27,3.53,5,4.08,44.8
Mali,50.3,5.93,6.47,5.4,2.38,49.7
Malta,40.0,5,4.3,5.7,5.13,60.0
Marshall Islands,34.0,2.52,2.73,2.3,5.79,66.0
Mauritania,46.9,4.38,4.27,4.5,3.13,53.1
Mauritius,48.1,4.37,4.13,4.6,5.54,51.9
Mexico,54.1,7.57,8.13,7,4.21,45.9
Federated States of Micronesia,35.3,3,3,3,5.88,64.7
Moldova,51.3,5.6,5.2,6,3.92,48.7
Monaco,24.7,2.58,1.67,3.5,5.63,75.3
Mongolia,53.5,4.12,3.83,4.4,5.21,46.5
Montenegro,36.9,5.9,5.2,6.6,4.75,63.1
Morocco,47.1,4.8,5.1,4.5,4.63,52.9
Mozambique,63.7,6.2,5.9,6.5,3.29,36.3
Myanmar,50.0,8.15,7.7,8.6,1.63,50.0
Namibia,64.6,4.3,4.1,4.5,4.54,35.4
Nauru,33.9,2.05,2.2,1.9,5,66.1
Nepal,37.5,6.57,6.03,7.1,4,62.5
Netherlands,26.2,4.97,5.23,4.7,7.46,73.8
New Zealand,47.1,4.08,3.77,4.4,7.88,52.9
Nicaragua,50.2,5.72,5.23,6.2,2.08,49.8
Niger,50.6,5.7,5.7,5.7,3.46,49.4
Nigeria,65.8,7.28,7.37,7.2,5.79,34.2
North Korea,50.7,4.82,5.73,3.9,1.79,49.3
North Macedonia,40.7,5.03,4.87,5.2,5.29,59.3
Norway,32.5,3.75,4.1,3.4,7.92,67.5
Oman,19.6,4.4,4.9,3.9,5.21,80.4
Pakistan,42.8,6.03,6.27,5.8,3.96,57.2
Palau,34.8,2.7,2.9,2.5,5.33,65.2
Panama,44.1,6.98,6.67,7.3,4.67,55.9
Papua New Guinea,80.4,5.72,5.33,6.1,3.29,19.6
Paraguay,50.6,7.52,6.73,8.3,3.42,49.4
Peru,67.5,6.4,6.2,6.6,4.38,32.5
Philippines,42.6,6.63,6.57,6.7,4.21,57.4
Poland,29.2,4.48,4.97,4,5.88,70.8
Portugal,30.7,4.88,4.67,5.1,6.5,69.3
Puerto Rico,61.7,,,,,38.3
Qatar,14.3,5.45,5.7,5.2,5.42,85.7
Republic of Congo,49.0,4.78,4.47,5.1,3.25,51.0
Romania,32.8,4.58,5.27,3.9,6,67.2
Russia,39.7,6.87,6.83,6.9,3.79,60.3
Rwanda,27.3,3.6,4,3.2,5.54,72.7
Saint Kitts and Nevis,44.4,3.52,2.83,4.2,5,55.6
Saint Lucia,41.6,3.53,2.67,4.4,5.58,58.4
Saint Vincent and the Grenadines,38.2,3.08,2.67,3.5,5.38,61.8
Samoa,29.5,2.43,2.97,1.9,5.83,70.5
San Marino,43.9,3.48,2.37,4.6,5.21,56.1
Sao Tome and Principe,33.9,1.7,1.7,1.7,4.92,66.1
Saudi Arabia,24.3,6.23,6.57,5.9,4,75.7
Senegal,44.5,5.52,5.53,5.5,5.79,55.5
Serbia,38.5,6.22,5.73,6.7,4.96,61.5
Seychelles,42.3,3.9,3.5,4.3,5.21,57.7
Sierra Leone,48.6,4.95,4.6,5.3,4.04,51.4
Singapore,23.1,3.47,3.93,3,7.83,76.9
Slovakia,31.3,4.72,4.73,4.7,5.29,68.7
Slovenia,24.2,4.37,4.03,4.7,6.04,75.8
Solomon Islands,45.9,4.4,3.7,5.1,5.08,54.1
Somalia,66.7,6.13,5.27,7,1.79,33.3
South Africa,75.5,7.18,6.87,7.5,5.63,24.5
South Korea,25.3,4.43,3.57,5.3,8.08,74.7
South Sudan,64.9,6.32,5.13,7.5,1.88,35.1
Spain,35.8,5.9,5.7,6.1,6.75,64.2
Sri Lanka,42.2,4.92,4.83,5,3.42,57.8
Sudan,45.5,6.37,5.23,7.5,2.71,54.5
Suriname,51.4,4.77,4.53,5,3.04,48.6
Sweden,48.1,4.7,4.6,4.8,7.46,51.9
Switzerland,24.9,4.87,4.63,5.1,7.04,75.1
Syria,69.1,7.07,6.43,7.7,1.92,30.9
Taiwan,16.1,,,,,83.9
Tajikistan,54.4,5.45,4.8,6.1,2.58,45.6
Tanzania,38.3,6.2,6.4,6,4.13,61.7
Thailand,44.0,6.18,6.77,5.6,4.79,56.0
Timor-Leste,45.7,4.08,3.67,4.5,3.83,54.3
Togo,47.7,5.23,4.77,5.7,4.5,52.3
Tonga,40.3,3.7,3.5,3.9,5.29,59.7
Trinidad and Tobago,70.8,5.2,4.8,5.6,5.33,29.2
Tunisia,44.7,4.45,5,3.9,4.5,55.3
Turkey,40.2,7.03,6.77,7.3,3.38,59.8
Turkmenistan,50.1,4.4,4.4,4.4,2.21,49.9
Tuvalu,29.7,1.62,1.93,1.3,6.08,70.3
Uganda,55.9,6.55,6.4,6.7,3.88,44.1
Ukraine,46.8,6.48,6.27,6.7,4.54,53.2
United Arab Emirates,14.6,6.37,7.03,5.7,5.13,85.4
United Kingdom,46.9,5.75,5.5,6,7.54,53.1
United States,49.2,5.67,5.83,5.5,7.13,50.8
United States Virgin Islands,61.2,,,,,38.8
Uruguay,51.9,3.22,3.33,3.1,7.5,48.1
Uzbekistan,31.3,4.95,4.6,5.3,3.88,68.7
Vanuatu,33.2,2.43,2.67,2.2,5.13,66.8
Venezuela,82.1,6.72,6.03,7.4,1.88,17.9
Vietnam,44.1,6.55,6.5,6.6,4.79,55.9
Yemen,64.7,6.57,5.63,7.5,1.75,35.3
Zambia,47.9,4.73,4.47,5,4.54,52.1
Zimbabwe,60.6,5.47,5.03,5.9,3.13,39.4
Gambia,40.2,4.53000021,4.670000076,4.400000095,5.170000076,59.8
